No,R(mm),theta(deg),outputs,n_L1,k_L1,Fv1_L1,,,225-5000-3000,225-5000-3000-2.5
1,0,0,668.33,1.51705,0,0,,,,
2,65,270,654.61,1.5203,0,0,,,,
3,65,0,668.05,1.51629,0,0,,,,
4,65,90,680.09,1.51669,0,0,,,,
5,65,180,668.5,1.51826,0,0,,,,
6,130,270,621.71,1.52098,0,0,,,,
7,130,315,629.97,1.52127,0,0,,,,
8,130,0,646.03,1.52061,0,0,,,,
9,130,45,661.73,1.5175,0,0,,,,
10,130,90,668.53,1.51544,0,0,,,,
11,130,135,661.95,1.51731,0,0,,,,
12,130,180,649.11,1.51921,0,0,,,,
13,130,225,630.33,1.52049,0,0,,,,
,,,,,,,,,,
,,,,,,,,,,

