No,R(mm),theta(deg),outputs,n_L1,k_L1,Fv1_L1,,,250-2000-2625,250-2000-2625-2.5
1,0,0,691.01,1.61688,0,-0.0011,,,,
2,65,270,667.88,1.64086,0,-0.0394,,,,
3,65,0,684.06,1.62647,0,-0.0164,,,,
4,65,90,710.51,1.60487,0,0.018,,,,
5,65,180,692.29,1.62134,0,-0.0082,,,,
6,130,270,607.23,1.67357,0,-0.092,,,,
7,130,315,607.07,1.66904,0,-0.0847,,,,
8,130,0,634.49,1.64897,0,-0.0524,,,,
9,130,45,662.47,1.62328,0,-0.0113,,,,
10,130,90,676.44,1.6089,0,0.0116,,,,
11,130,135,669.98,1.61569,0,0.0008,,,,
12,130,180,647.07,1.63942,0,-0.0371,,,,
13,130,225,621.35,1.66352,0,-0.0758,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,

